_id,category,section,question,options.a,options.b,options.c,options.d,answer,point,createdAt,updatedAt
66e0d9b2d2fc14ddb79bbea2,null,Time Management,Which tool can assist with time management?,Social media.,A time tracking app.,Television.,Random task lists.,A time tracking app.,1,2024-09-10T23:43:46.592Z,2024-09-10T23:43:46.592Z
66e0d9b2d2fc14ddb79bbea3,null,Emotional Intelligence,What is a key component of emotional intelligence?,Suppressing emotions.,Understanding and managing one's own emotions.,Ignoring others' emotions.,Avoiding difficult conversations.,Understanding and managing one's own emotions.,1,2024-09-10T23:43:46.592Z,2024-09-10T23:43:46.592Z
66e0d9b2d2fc14ddb79bbea4,null,Emotional Intelligence,How can an entrepreneur develop empathy?,By focusing only on their own needs.,By actively listening and understanding others' perspectives.,By avoiding social interactions.,By dismissing others' feelings.,By actively listening and understanding others' perspectives.,1,2024-09-10T23:43:46.592Z,2024-09-10T23:43:46.592Z
66e0d9b2d2fc14ddb79bbea5,null,Emotional Intelligence,Why is emotional intelligence important in leadership?,It complicates decision-making.,It helps in building strong relationships and managing teams effectively.,It reduces efficiency.,It is only useful for personal life.,It helps in building strong relationships and managing teams effectively.,1,2024-09-10T23:43:46.592Z,2024-09-10T23:43:46.592Z
66e0d9b2d2fc14ddb79bbea6,null,Adaptability and Flexibility,Why is adaptability crucial for entrepreneurs?,It allows them to resist change.,It helps them respond effectively to new challenges and opportunities.,It limits their growth.,It simplifies their work.,It helps them respond effectively to new challenges and opportunities.,1,2024-09-10T23:43:46.592Z,2024-09-10T23:43:46.592Z
66e0d9b2d2fc14ddb79bbea7,null,Adaptability and Flexibility,What is a sign of an adaptable entrepreneur?,Sticking rigidly to the original plan.,Being open to new ideas and willing to pivot when necessary.,Avoiding risks.,Ignoring feedback.,Being open to new ideas and willing to pivot when necessary.,1,2024-09-10T23:43:46.592Z,2024-09-10T23:43:46.592Z
66e0d9b2d2fc14ddb79bbea8,null,Adaptability and Flexibility,How can an entrepreneur cultivate adaptability?,By learning from diverse experiences and staying informed about industry trends.,By avoiding new experiences.,By focusing on a single strategy.,By resisting change.,By learning from diverse experiences and staying informed about industry trends.,1,2024-09-10T23:43:46.592Z,2024-09-10T23:43:46.592Z
66e0d9b2d2fc14ddb79bbea9,null,Networking and Relationship Building,What is the primary benefit of networking for entrepreneurs?,It increases competition.,It creates opportunities for collaboration and business growth.,It wastes time.,It is only useful for socializing.,It creates opportunities for collaboration and business growth.,1,2024-09-10T23:43:46.593Z,2024-09-10T23:43:46.593Z
66e0d9b2d2fc14ddb79bbeaa,null,Networking and Relationship Building,Which approach is most effective in building professional relationships?,Focusing solely on one's own needs.,Providing value and support to others.,Avoiding follow-ups.,Demanding favors upfront.,Providing value and support to others.,1,2024-09-10T23:43:46.593Z,2024-09-10T23:43:46.593Z
66e0d9b2d2fc14ddb79bbeab,null,Networking and Relationship Building,How can entrepreneurs expand their professional network?,By attending industry events and engaging on professional social platforms.,By staying isolated.,By avoiding new connections.,By focusing only on existing relationships.,By attending industry events and engaging on professional social platforms.,1,2024-09-10T23:43:46.593Z,2024-09-10T23:43:46.593Z
66e0d9b2d2fc14ddb79bbeac,null,Decision-Making,What is a key factor in making effective decisions?,Relying solely on intuition.,Gathering relevant information and analyzing options.,Making impulsive choices.,Avoiding input from others.,Gathering relevant information and analyzing options.,1,2024-09-10T23:43:46.593Z,2024-09-10T23:43:46.593Z
66e0d9b2d2fc14ddb79bbead,null,Decision-Making,Why is it important to consider both short-term and long-term impacts in decision-making?,It complicates the process.,It ensures sustainable business growth and success.,It is unnecessary.,It delays action.,It ensures sustainable business growth and success.,1,2024-09-10T23:43:46.593Z,2024-09-10T23:43:46.593Z
66e0d9b2d2fc14ddb79bbeae,null,Decision-Making,What is a common mistake to avoid in decision-making?,Seeking diverse perspectives.,Overlooking potential risks.,Using data and analysis.,Taking calculated risks.,Overlooking potential risks.,1,2024-09-10T23:43:46.593Z,2024-09-10T23:43:46.593Z
66e0d9b2d2fc14ddb79bbeaf,null,Conflict Resolution,What is the first step in resolving a conflict?,Ignoring the conflict.,Identifying the root cause of the conflict.,Blaming others.,Escalating the issue.,Identifying the root cause of the conflict.,1,2024-09-10T23:43:46.593Z,2024-09-10T23:43:46.593Z
66e0d9b2d2fc14ddb79bbeb0,null,Conflict Resolution,How can entrepreneurs handle conflicts effectively?,By addressing them promptly and communicating openly.,By avoiding confrontation.,By imposing their decisions.,By ignoring the parties involved.,By addressing them promptly and communicating openly.,1,2024-09-10T23:43:46.593Z,2024-09-10T23:43:46.593Z
66e0d9b2d2fc14ddb79bbeb1,null,Conflict Resolution,What is a benefit of resolving conflicts constructively?,It increases team friction.,It fosters a collaborative and productive work environment.,It reduces team morale.,It is time-consuming.,It fosters a collaborative and productive work environment.,1,2024-09-10T23:43:46.593Z,2024-09-10T23:43:46.593Z
